"id","nombre","categoria","imagen_actual","imagen_real"
"prod-00343","DESODORANTE BALANCE WOMEN 30G","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00343"
"prod-00500","DESODORANTE BALANCE WOMEN 50G","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00500"
"prod-00786","DESODORANTE DOVE SPRAY 150ML","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00786"
"prod-00472","DESODORANTE NIVEA ACLARANTE","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00472"
"prod-00473","DESODORANTE NIVEA MIRACLE SWEE","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00473"
"prod-00174","DESODORANTE REXONA CLINICAL","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00174"
"prod-00175","DESODORANTE REXONA ROLON HOMBR","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00175"
"prod-00102","DICLOFENACO GEL TOPICO 1%","Cuidado personal","imagenesmedimentos/diclofenacogel.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00102"
"prod-00044","DOLEX ACTIV GEL 10 CAPS","Cuidado personal","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00044"
"prod-00474","GEL LUBRICANTE DUO PURE 75ML","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00474.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00474"
"prod-00885","GELILAB ADVANCE UVA PHARBIOLAB","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00885.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00885"
"prod-00212","GELPIN FAST 4 TABLETAS","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00212.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00212"
"prod-00298","HIDROCORTISONA CREMA 1% AG 15G","Cuidado personal","imagenesmedimentos/hidrocortisonacrema.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00298"
"prod-00396","JABON ASEPXIA AZUFRE 100G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00396.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00396"
"prod-00397","JABON ASEPXIA BICARBONATO 100G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00397.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00397"
"prod-00398","JABON ASEPXIA ESPONJA 80G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00398.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00398"
"prod-00399","JABON ASEPXIA EXFOLIANTE 100G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00399.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00399"
"prod-00658","JABON BABY DOVE 400ML HIPOALER","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00658.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00658"
"prod-00656","JABON DOVE REVIGORANTE 90G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00656.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00656"
"prod-00479","JABON INTIMO MUJER CALENDULA","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00479.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00479"
"prod-00482","JABON INTIMO MUJER SALVIA Y CALENDULA 210G + VINAGRE DE MANZANA Y CALENDULA 55G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00482.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00482"
"prod-00416","JABON NIXODERM AZUFRE ALOE VER","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00416.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00416"
"prod-00418","JABON NIXODERM AZUFRE EXTRACTO","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00418.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00418"
"prod-00488","JABON PALMOLIVE AVENA Y AZUCAR","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00488.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00488"
